CUR,idconcatenado,coordinador
1,185-PRINCIPAL-ALAF,JESUS
2,185-PRINCIPAL-ALJ,JESUS
3,185-PRINCIPAL-ALR,JESUS
4,185-PRINCIPAL-ALSC,JESUS
5,185-PRINCIPAL-CERYS,JESUS
6,185-PRINCIPAL-SLCTI,JESUS
7,201-SECCION:SLP TERM. INTERMODAL-ADUANA,LILI
8,535-SALA PASAJEROS AEROPUERTO SAN LUIS POTOSI,LILI
9,203-SECCION:AEROPUERTO ZACATECAS-ADUANA,LILI
10,2129-MODULO:AGUASCALIENTES CAYPYME-ALR,JESUS
11,362-SECCION:SLP AEROPUERTO-ADUANA,LILI
12,382-SECCION:LA PILA VILLA-ADUANA,LILI
13,392-SECCION:CHICALOTE-ADUANA,JESUS
14,402-SECCION:AEROPUERTO AGS-ADUANA,JESUS
15,187-PRINCIPAL-ALAF,LORENA
16,187-PRINCIPAL-ALJ,LORENA
17,187-PRINCIPAL-ALR,LORENA
18,187-PRINCIPAL-ALSC,LORENA
19,187-PRINCIPAL-CERYS,LORENA
20,188-MODULO AUDITORIA-CERYS,LORENA
21,188-MODULO:CD.GUZMAN AUDITORIA-ALAF,LORENA
22,516-MODULO:AUTLAN MAF-MAF,LORENA
23,505-MODULO:SAN MIGUEL ALLENDE UD-MFS,LORENA
24,209-PRINCIPAL-ALAF,LORENA
25,209-PRINCIPAL-ALJ,LORENA
26,209-PRINCIPAL-ALR,LORENA
27,209-PRINCIPAL-CERYS,LORENA
28,209-PRINCIPAL-ALSC,LORENA
29,209-PRINCIPAL-ARACE DEL CENTRO SUBSEDE CELAYA,LORENA
30,209-PRINCIPAL-SLCTI,LORENA
31,518-MODULO:ACAMBARO UD-MFS,LORENA
32,1055-MODULO:TECOMAN MAF-MAF,LORENA
33,190-PRINCIPAL-ALAF,LORENA
34,190-PRINCIPAL-ALJ,LORENA
35,190-PRINCIPAL-ALR,LORENA
36,190-PRINCIPAL-ALSC,LORENA
37,190-PRINCIPAL-CERYS,LORENA
38,190-PRINCIPAL-SLCTI,LORENA
39,191-SUBSEDE COLIMA - SRS,LORENA
40,199-SUBSEDE MANZANILLO,LORENA
41,2037-BODEGA:COLIMA ZARCO-CERYS,LORENA
42,2038-BODEGA:COLIMA COLON-CERYS,LORENA
43,2025-MODULO:JIUTEPEC-MAF,ALICIA
