"clave_unica","zona","estado","domicilio","id_loc","ps1","ps2","ps3","ps4","ps5","ps6","ps7","vol","facturacion","mes"
"1","SUR","CAMPECHE23","PROLONGACION DE LA CALLE 31 (FINAL DE LA CALLE)  S/N, COL. AVIACION C.P. 24100, 1, CD. DEL CARMEN, CAMPECHE, REFERENCIA: INTERIOR SALA INTERNACIONAL DEL AEROPUERTO DE CIUDAD DEL CARMEN",,"0","0","0","0","1","0","0","1","576.59","Julio"
"2","SUR","CAMPECHE","AV. AVIACI?N (CARRETERA CAMPECHE-CHINA) S/N, COL. S/N C.P. 24072, 1, CAMPECHE, CAMPECHE, REFERENCIA: INTERIOR DE LA SALA INTERNACIONAL DEL AEROPUERTO DE CAMPECHE",,"1","0","0","0","0","0","0","1","576.59","Julio"
"3","NORTE","COAHUILA","FUENTE Y ZARAGOZA  S/N, COL. CENTRO C.P. 26000, PLANTA BAJA, PIEDRAS NEGRAS, COAHUILA, REFERENCIA: EDIFICIO ADUANA",,"31.6774","23.8387","0","4.8387","8","0","1","69.3548","37480.47938","Julio"
"4","SUR","CHIAPAS","3A. SUR PONIENTE 2, COL. CENTRO C.P. 30000, PLANTA BAJA, COMITAN DE DOMINGUEZ, CHIAPAS, REFERENCIA: N/D",,"3","6","0","0","0","0","0","9","4535.55","Julio"
"5","NORTE","CHIHUAHUA","ZARAGOZA Y BOLIVAR  S/N, COL. CENTRO C.P. 32881, PB, OJINAGA, CHIHUAHUA, REFERENCIA: FRENTE AL PARQUE MANUEL OJINAGA",,"3.7419","21.1611","0","0","2.8065","0","0","27.7095","13671.307149","Julio"
"6","SUR","CHIAPAS","CARR. PALENQUE - CATAZAJ? KM. 2.5 S/N, COL. INTERIOR DEL AEROPUERTO INTERNACIONAL C.P. 29600, PLANTA BAJA, PALENQUE, CHIAPAS, REFERENCIA: AEROPUERTO",,"0","0","0","1","0","0","0","1","576.59","Julio"
"7","NORTE","CHIHUAHUA","C. INTERNACIONAL  S/N, COL. CENTRO C.P. 31830, UNICO PISO,  DEL.  ASCENSI?N, PUERTO PALOMAS, CHIHUAHUA, REFERENCIA: ENTRE 5 DE MAYO Y REVOLUCI?N",,"11.9677","12.5806","0","2","2.6774","0","1","30.2257","16145.714187","Julio"
"8","NORTE","NUEVO LEON","CARRETERA MIGUEL ALEMAN KM 24, APODACA, N.L. S/N C.P. 66600, PLANTA BAJA, APODACA, NUEVO LEON, REFERENCIA: AEROPUERTO INTERNACIONAL DE MONTERREY, TERMINAL ""A""",,"1","1","0","1","0","0","0","3","1620.81","Julio"
"9","NORTE","NUEVO LEON","CARRETERA MONTERREY - NUEVO LAREDO KM 20 S/N C.P. 66600, PLANTA BAJA, APODACA, NUEVO LEON, REFERENCIA: AEROPUERTO INTERNACIONAL DEL NORTE",,"1","0","0","0","0","0","0","1","576.59","Julio"
"10","NORTE","CHIHUAHUA","AVE. TRASVI?A Y RETES? 706, N?MERO INTERIOR? INTERIOR 6, COL. CONSTITUCI?N C.P. 32882, PLANTA BAJA, OJINAGA, CHIHUAHUA, REFERENCIA: ENTRE CALLES 7A Y 9A",,"1","0","0","0","0","0","0","1","576.59","Julio"
"11","NORTE","COAHUILA","BLVD. FERROPUERTOS  S/N, COL. PARQUE INDUSTRIAL FERROPUERTO LAGUNA C.P. 27400, BAJA,  DEL.  FERROPUERTO LAGUNA, TORREON, COAHUILA, REFERENCIA: A UN LADO DE LA EMPRESA CONSOLIDAMEX",,"5","18.4194","0","10","7","0","0.0968","40.5162","21362.840222","Julio"
"12","NORTE","TAMAULIPAS","CALLE JOSE GUADALUPE LOPEZ VELARDE  100, COL. DEL PRADO C.P. 88500, PB, REYNOSA, TAMAULIPAS, REFERENCIA: CENTRAL DE AUTOBUSES DE REYNOSA",,"0","0","0","0","1","0","0","1","576.59","Julio"
"13","NORTE","BAJA CALIFORNIA","FRAY JUNIPERO SIERRA Y SEBASTIAN VIZCAINO S/N, COL. GARITA DE OTAY C.P. 22509, UNICO PISO,  DEL.  MESA DE OTAY, TIJUANA, BAJA CALIFORNIA, REFERENCIA: ANEXO A GARITA DE OTAY",,"0","0.7419","0","0.2581","0","0","0","1","495.752576","Julio"
"14","NORTE","COAHUILA","MIGUEL HIDALGO Y NICOLAS BRAVO S/N, COL. CENTRO C.P. 26200, PLANTA UNICA, CIUDAD ACU?A, COAHUILA, REFERENCIA: EDIFICIO PUERTA DE MEXICO",,"8.9677","14.742","0","2","4","0","0","29.7097","15524.027603","Julio"
"15","SUR","VERACRUZ","CALLE 1 NORTE ENTRE AVE. 2 Y 4 311, COL. CENTRO C.P. 94100, 1ER. PISO, HUATUSCO DE CHICUELLAR, VERACRUZ, REFERENCIA: JUNTO A LAS OFICINAS DE HACIENDA DEL ESTADO",,"0.7096","0","0","0","0","0","0","0.7096","409.148264","Julio"
"16","NORTE","CHIHUAHUA","PUENTE LIBRE DE C?RDOVA S/N, COL. ?REA DEL CHAMIZAL C.P. 32310, BAJA 7 PRIMER PISO, CD. JUAREZ, CHIHUAHUA, REFERENCIA: EL CHAMIZAL DE CD. JU?REZ",,"97.6452","74.8715","0","8","12.4516","0","1","193.9683","103770.843457","Julio"
"17","SUR","YUCATAN","44 185, COL. LA CANDELARIA C.P. 97780, PB, VALLADOLID, YUCATAN, REFERENCIA: A 1 CUADRA DEL PARQUE LA CANDELARIA",,"1","4","0","0","0","0","0","5","2447.11","Julio"
"18","NORTE","CHIHUAHUA","AVE. INTERNACIONAL? WATERFILL S/N, COL. WATERFILL C.P. 32550, PB,? DEL.? ZARAGOZA, DISTRITO BRAVO, CD. JUAREZ, CHIHUAHUA, REFERENCIA: PUENTE ZARAGOZA",,"12.0323","35","0","0","0","0","0","47.0323","23304.753857","Julio"
"19","SUR","PUEBLA","BLVD. NI?OS HEROES #805, LOCAL 47, COL. REVOLUCION, C.P. 74270",,"0","1","0","0","0","0","0","1","467.63","Julio"
"20","CENTRO","SAN LUIS POTOSI","5 DE MAYO NO. 107 INT. 22 C.P. 79610",,"2","0","0","1","0","0","0","3","1729.77","Julio"
"21","NORTE","CHIHUAHUA","AV. HOMERO ,  540, COL. COMPLEJO INDUSTRIAL CHIHUAHUA C.P. 31136, PLANTA BAJA,  DEL.  COMPLEJO INDUSTRIAL CHIHUAHUA, CHIHUAHUA, CHIHUAHUA, REFERENCIA: FRENTE A EMPRESA COPRECHISA  ANTES DE CRUZAR VIAS FFCC",,"12.7742","14.9033","0","1","4.3871","0","0","33.0646","17440.854146","Julio"
"22","NORTE","TAMAULIPAS","HIDALGO  S/N, COL. ZONA CENTRO C.P. 87600, N/A, SAN FERNANDO, TAMAULIPAS, REFERENCIA: ESQUINA CON BENITO JUAREZ",,"1","4","0","1","0","0","0","6","3023.7","Julio"
"23","SUR","VERACRUZ","LA FRAGUA 170, COL. CENTRO C.P. 95700, PLANTA BAJA, SAN ANDRES TUXTLA, VERACRUZ, REFERENCIA: ENTRE INDEPENDENCIA Y  REFORMA",,"1","0","0","0","2","0","0","3","1729.77","Julio"
"24","SUR","VERACRUZ","NICOL?S BRAVO S/N, COL. CENTRO C.P. 96000, PLANTA BAJA, ACAYUCAN, VERACRUZ, REFERENCIA: ESQUINA VICTORIA, PLANTA BAJA, PALACIO MUNICIPAL.",,"0","0","0","1","0","0","0","1","576.59","Julio"
"25","NORTE","COAHUILA","PERIF?RICO RA?L L?PEZ S?NCHEZ 17, COL. ERIAZO DEL NORTE C.P. 27110, PB, TORREON, COAHUILA, REFERENCIA: ENTRE LA UANE  Y DE LA SCT",,"211","96.9355","3","50","51.9677","0","6.8065","419.7097","232034.018133","Julio"
"26","CENTRO","MEXICO","AVENIDA MORELOS NUMERO 304 ESQUINA ABASOLO TERCER PISO COLONIA CENTRO C. P. 52400 TENANCINGO ESTADO DE MEXICO.",,"1","0","0","0","0","0","0","1","576.59","Julio"
"27","SUR","CHIAPAS","PALACIO MUNICIPAL CONOCIDO, COL. CENTRO C.P. 29520, 1ER. PISO, PICHUCALCO, CHIAPAS, REFERENCIA: EDIFICIO DE LA PRESIDENCIA MUNICIPAL",,"2","0","0","0","0","0","0","2","1153.18","Julio"
"28","SUR","GUERRERO","EJIDO 43, N?MERO INTERIOR  101, COL. CENTRO C.P. 40880, PRIMAR NIVEL, ZIHUATANEJO, GUERRERO, REFERENCIA: ENTRE CALLE CUAUHTEMOC Y 5 DE MAYO, ENFRENTE DE HELADOS HOLANDA",,"2","2","0","0","0","0","0","4","2088.44","Julio"
"29","NORTE","CHIHUAHUA","COSMOS 4334, COL. SATELITE C.P. 31104, PB, CHIHUAHUA, CHIHUAHUA, REFERENCIA: ESQUINA CALLE PINO",,"204.9032","102.6452","3","44","31","0","3","388.5484","213107.110964","Julio"
"30","CENTRO","MICHOACAN","ENRIQUE RAM?REZ NO. 48, LOCALES 8-9, COL. JARDINES DEL CARMEN, LA PIEDAD, MICH, CP 59387",,"0","2","0","0","0","0","0","2","935.26","Julio"
"31","CENTRO","MICHOACAN","AV. GUERRERO ESQ. BLVD. LAZARO CARDENAS S/N INTERIOR PRESIDENCIA MUNICIPAL COL. CENTRO C.P. 59000 SAHUAYO MICH.",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"32","CENTRO","MICHOACAN","FRANCISCO J. MUJICA NO. 27 INT. 12 COL. CENTRO C.P. 60600 APATZINGAN MICH.",,"2","2","0","0","1","0","0","5","2665.03","Julio"
"33","SUR","TABASCO","VICENTE GUERRERO 503, COL. CENTRO C.P. 86495, PB, CARDENAS, TABASCO, REFERENCIA: ENTRE IGNACIO ZARAGOZA Y JOSE MARIA MORELOS Y PAVON",,"3","0","0","0","0","0","0","3","1729.77","Julio"
"34","SUR","GUERRERO","AV. DE LOS PLATEROS 230, COL. BARRIO DE LA CATARINA C.P. 40200, PISO UNICO,  DEL.  TAXCO DE ALARCON, TAXCO, GUERRERO, REFERENCIA: CASI ESQUINA CON CALLE 2DA. DE LA CATARINA",,"1","0","0","0","0","0","0","1","576.59","Julio"
"35","NORTE","CHIHUAHUA","AVE. TEOFILO BORUNDA 8670, N?MERO INTERIOR  A, COL. PARTIDO IGLESIAS C.P. 32528, PLANTA ALTA, CD. JUAREZ, CHIHUAHUA, REFERENCIA: ESQUINA CON PASEO DE LA VICTORIA, ENFRENTE DE CENTRO COMERCIAL MISIONES",,"146.8064","81.2258","2","61.7742","25.258","1","3.7097","321.7741","177093.747153","Julio"
"36","CENTRO","GUANAJUATO","LEONA VICARIO S/N COL SAN JUAN CHIHUAHUA CP 36744",,"0","1","0","0","0","0","0","1","467.63","Julio"
"37","SUR","TLAXCALA","AV. HIDALGO SUR 303, N?MERO INTERIOR? MEZZANINE LOCAL 2, COL. CENTRO C.P. 90300, MEZZANINE, APIZACO, TLAXCALA, REFERENCIA: TORRE APIZACO",,"2","1","0","0","0","0","0","3","1620.81","Julio"
"38","CENTRO","GUANAJUATO","AV. DE LA CONSPIRACI?N NO. 302, INTERIOR PLAZA REAL DEL CONDE, LOCALES BB04 Y BB05, ENTRE AV. REAL DEL CONDE Y AV. BOMBEROS, COL. EL DEPORTIVO C.P. 37748, SAN MIGUEL DE ALLENDE, GUANAJUATO",,"1","1","0","0","0","0","0","2","1044.22","Julio"
"39","NORTE","DURANGO","PEDRO CELESTINO NEGRETE 215 ORIENTE, COL. CENTRO C.P. 34000, PLANTA BAJA, DURANGO, DURANGO, REFERENCIA: ATR?S DEL HOTEL GOBERNADOR",,"109.8388","64.871","2","31","19.9032","0","2","229.613","125496.35551","Julio"
"40","SUR","CHIAPAS","PLAZA SAN CRISTOBAL, DIAGONAL HERMANOS PANIAGUA. 50, COL. BARRIO DE SAN RAM?N C.P. 29265, 1ER. PISO., SAN CRISTOBAL DE LAS CASAS, CHIAPAS, REFERENCIA: PLAZA SAN CRISTOBAL",,"6","5.4839","0","0","0","0","0","11.4839","6023.976157","Julio"
"41","SUR","VERACRUZ","ADOLFO RUIZ CORTINEZ 302, N?MERO INTERIOR  C, COL. CENTRO C.P. 94500, PLANTA ALTA, COSAMALOAPAN, VERACRUZ, REFERENCIA: DENTRO DEL MISMO INMUEBLE ESTA LA OFICINA DE MEXPOST",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"42","CENTRO","MICHOACAN","ALVARO OBREGON #13, COL CENTRO, C.P. 61600, PATZCUARO MICHOACAN, ENTRE SILVIANO CARRILLO CARDENAS Y PLAZA GERTRUDIS BOCANEGRA",,"2","2","0","0","0","0","0","4","2088.44","Julio"
"43","NORTE","TAMAULIPAS","ARTEAGA , ESQ.  MENDOZA, SECTOR ADUANA, EDIFICIO. ANTIGUA ADUANA 3800, COL. CENTRO C.P. 88000, PLANTA BAJA, NUEVO LAREDO, TAMAULIPAS, REFERENCIA: ADUANA ANTIGUA",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"44","SUR","TABASCO","BENITO JUAREZ GARCIA  105, N?MERO INTERIOR  4, COL. CENTRO C.P. 86300, PB, COMALCALCO, TABASCO, REFERENCIA: MARIANO ABASOLO Y ARISTA",,"0","0","0","0","1","0","0","1","576.59","Julio"
"45","CENTRO","ZACATECAS","CALLE UNION No. 101 PLAZA FUTURA COL. CENTRO ZACATECAS ZAC. CP 98000",,"114.484","63.2258","2","30","22.2258","1","0","232.9356","127502.734436","Julio"
"46","CENTRO","HIDALGO","AV. FELIPE ANGELES S/N, ESQUINA CON INSURGENTES, COL. CENTRO, C.P. 42300 (EXPATRIMONIO)",,"5","6","0","0","0","0","0","11","5688.73","Julio"
"47","SUR","PUEBLA","AV. HIDALGO 206, COL. ZONA CENTRO C.P. 75200, PRIMER PISO, TEPEACA, PUEBLA, REFERENCIA: DONDE SE ENCUENTRA EL BANCOMER (ENRE LA 2 Y 4 PONIENTE)",,"4","0","0","1","2","0","0","7","4036.13","Julio"
"48","SUR","VERACRUZ","IGNACIO L?PEZ RAY?N 366, COL. FRACCIONAMIENTO FAROS C.P. 91709, INMUEBLA DE UNA PLANTA, VERACRUZ, VERACRUZ, REFERENCIA: ENFRENTE DEL INMUEBLE ESTA EL BALUARTE DE SANTIAGO.",,"5","19","0","0","0","0","0","24","11767.92","Julio"
"49","CENTRO","HIDALGO","AV. JUAREZ NO 106 ESQ CON IGNACIO ZARAGOZA COL. CENTRO TULANCINGO DE BRAVO HGO. C.P. 43600",,"9","5","0","0","0","0","0","14","7527.46","Julio"
"50","SUR","TABASCO","LAZARO CARDENAS DEL RIO 15, COL. CENTRO C.P. 86500, PB, CARDENAS, TABASCO, REFERENCIA: ROSARIO GIL Y PROL. IGNACIO COMOMFORT",,"0","2","0","0","0","0","0","2","935.26","Julio"
"51","NORTE","COAHUILA","BOULEVARD VENUSTIANO CARRANZA 2845, COL. LA SALLE C.P. 25240, 5 PISOS, SALTILLO, COAHUILA, REFERENCIA: CRUCE CON  LUIS ECHEVERR?A FRENTE A MUEBLES JOSE",,"130.3871","70.4194","2","22","20.1936","0","3","248.0001","135582.279835","Julio"
"52","SUR","OAXACA","AV. MONTE ALB?N 18, COL. FRACCIONAMIENTO BACOCHO, MANZANA 3 SUPERMANZANA 1 C.P. 71983, PLANTA BAJA, PUERTO ESCONDIDO, OAXACA, REFERENCIA: ENTRE RETORNO C-1 Y MITLA",,"4","5","0","0","0","0","0","9","4644.51","Julio"
"53","NORTE","CHIHUAHUA","AV. OSCAR FLORES SANCHEZ  401, COL. CENTRO C.P. 33000, PB, DELICIAS, CHIHUAHUA, REFERENCIA: ESQUINA CALLE 4A Y 6A NORTE",,"8","5","0","2","3","0","0","18","9833.82","Julio"
"54","SUR","TABASCO","PASEO TABASCO 1504, COL. TABASCO 2000 C.P. 86031, PLANTA ALTA, VILLAHERMOSA, TABASCO, REFERENCIA: VIA 2 Y VIA 3",,"0","1","0","0","0","0","0","1","467.63","Julio"
"55","NORTE","TAMAULIPAS","AV. REFORMA ENTRE LAGO DE CH?PALA Y MUNICIPIO LIBRE S/N, COL. CONCORDIA C.P. 88000, PLANTA BAJA, NUEVO LAREDO, TAMAULIPAS, REFERENCIA: ALMAC?N FISCAL REFORMA",,"1","0","0","0","0","0","0","1","576.59","Julio"
"56","SUR","VERACRUZ","AVENIDA BELIZARIO DOM?NGUEZ 116, N?MERO INTERIOR  LOCAL 11, PLAZA MI FAVORITA, COL. CENTRO C.P. 95700, PLANTA BAJA, SAN ANDR?S TUXTLA, VERACRUZ, REFERENCIA: ENTRE PINO SU?REZ Y CALLEJ?N 7 DE AGOSTO",,"1","1","0","0","0","0","0","2","1044.22","Julio"
"57","SUR","OAXACA","BOULEVARD CHAHU? ESQUINA GUAM?CHIL S/N, COL. SECTOR H C.P. 70987, PLANTA BAJA, SANTA CRUZ HUATULCO, OAXACA, REFERENCIA: ESQUINA GUAM?CHIL",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"58","CENTRO","HIDALGO","AV. JUAREZ SUR NO. 24 1ER. PISO COL. ATEMPA TIZAYUCA HGO. C.P. 43800",,"4","0","0","0","0","0","0","4","2306.36","Julio"
"59","NORTE","TAMAULIPAS","CALLE GALEANA Y 14 S/N, COL. FERROCARRIL C.P. 87320, PISO UNICO, MATAMOROS, TAMAULIPAS, REFERENCIA: ADUANA ANTIGUA",,"1","0","0","0","0","0","0","1","576.59","Julio"
"60","SUR","GUERRERO","EJIDO 43, N?MERO INTERIOR  103, COL. CENTRO C.P. 4890, PRIMAR NIVEL, ZIHUATANEJO, GUERRERO, REFERENCIA: FRENTE A NUEVA ZELANDA",,"1","0","0","1","2","0","0","4","2306.36","Julio"
"61","NORTE","COAHUILA","MORELOS 401, COL. CENTRO C.P. 26000, PLANTA BAJA, PIEDRAS NEGRAS, COAHUILA, REFERENCIA: ESQUINA CON CALLE ALLENDE",,"6.9677","3","0","0","0","0","0","9.9677","5420.396143","Julio"
"62","NORTE","SINALOA","BENITO JUAREZ 542, N?MERO INTERIOR  2, COL. PRIMAVERA C.P. 80324, PLANTA BAJA, NAVOLATO, SINALOA, REFERENCIA: INSTALACIONES CANACO",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"63","NORTE","TAMAULIPAS","AVE. HIDALGO Y CALLE PRIMERA 655, COL. CENTRO C.P. 88300, PLANTA BAJA, MIGUEL ALEMAN, TAMAULIPAS, REFERENCIA: JUNTO A 2O. RECONOCIMIENTO",,"1","0","0","0","0","0","0","1","576.59","Julio"
"64","NORTE","CHIHUAHUA","AV. ALVARO OBREGON , 409  ENTRE MINERVA Y JESUS URRUETA COL. CENTRO C.P. 31700",,"3","2","0","0","0","0","0","5","2665.03","Julio"
"65","NORTE","SONORA","CARRETERA INTERNACIONAL NOGALES-HERMOSILLO KM 5.5 S/N, COL. LOMAS DE NOGALES C.P. 84080, PISO UNICO, NOGALES, SONORA, REFERENCIA: ALMACEN FISCAL (CERYS)",,"4","1","0","1","1","0","0","7","3927.17","Julio"
"66","NORTE","COAHUILA","AVENIDA BRASIL 1201, COL. CD. DEPORTIVA C.P. 25750, 1O. Y 3ER. PISO, MONCLOVA, COAHUILA, REFERENCIA: FRENTE AL PARQUE DE BEISBOL",,"12","9.7419","0","6","9","0","0","36.7419","20123.534697","Julio"
"67","SUR","QUINTANA ROO","45 AV. NTE.  MZA 12 LOTE 10 Y 11, COL. GONZALO GUERRERO. C.P. 77710, 1ER PISO, 2? PISO.,  DEL.  SOLIDARIDAD, PLAYA DEL CARMEN, QUINTANA ROO, REFERENCIA: ENTRE AV. CONSTITUYENTES Y C.22,",,"5","5","0","0","1.6452","0","0","11.6452","6169.705868","Julio"
"68","NORTE","CHIHUAHUA","EJE VIAL JUAN GABRIEL Y AVE. DE LOS INSURGENTES S/N, COL. EL BARREAL C.P. 32000, PB, CD. JUAREZ, CHIHUAHUA, REFERENCIA: FERROCARRILES MEXICANOS",,"2","6","0","0","0","0","0","8","3958.96","Julio"
"69","NORTE","CHIHUAHUA","DAMASO JIMENEZ Y MUTUALISMO SIN NUMERO S/N, COL. CENTRO C.P. 33800, SEGUNDO PISO, HIDALGO DEL PARRAL, CHIHUAHUA, REFERENCIA: ESQUINA DE CALLE DAMASO JIMENEZ Y CALLE MUTUALISMO",,"4","2","0","0","0","0","0","6","3241.62","Julio"
"70","SUR","OAXACA","AVENIDA EFRA?N R. G?MEZ ESQUINA 16 DE SEPTIEMBRE S/N, COL. CENTRO C.P. 70000, PLANTA ALTA, JUCHITAN DE ZARAGOZA, OAXACA, REFERENCIA: ENTRE 16 DE SEPTIEMBRE Y 5 DE MAYO",,"4","9","0","0","0","0","0","13","6515.03","Julio"
"71","NORTE","COAHUILA","EMILIO CARRANZA 145, COL. CENTRO C.P. 26700, PLANTA BAJA, SABINAS, COAHUILA, REFERENCIA: CUADRA Y MEDIA DE LA PRESIDENCIA MUNICIPAL.",,"2","1","0","1","0","0","0","4","2197.4","Julio"
"72","NORTE","COAHUILA","EMILIO CARRANZA 151, COL. CENTRO C.P. 26700, PLANTA BAJA, SABINAS, COAHUILA, REFERENCIA: CUADRA Y MEDIA DE LA PRESIDENCIA MUNICIPAL.",,"3","2.4516","0","0","0","0","0","5.4516","2876.211708","Julio"
"73","NORTE","CHIHUAHUA","CARRETERA PANAMERICANA KM 18.5 S/N, COL. AEROPUERTO C.P. 32690, PB, CD. JUAREZ, CHIHUAHUA, REFERENCIA: AEROPUERTO",,"0","1.1935","0","0","0","0","0","1.1935","558.116405","Julio"
"74","NORTE","COAHUILA","FUENTE 300, COL. CENTRO C.P. 26000, 1 Y 2 PISO, PIEDRAS NEGRAS, COAHUILA, REFERENCIA: JUNTO A EDIFICIO ADUANA",,"27","3","0","14","8.0645","0","0","52.0645","29692.990055","Julio"
"75","SUR","GUERRERO","EJIDO 43, N?MERO INTERIOR  104, COL. CENTRO C.P. 40680, PRIMAR NIVEL, ZIHUATANEJO, GUERRERO, REFERENCIA: ESQUINA CON CALLE CUAUHTEMOC",,"2","0","0","0","1","0","0","3","1729.77","Julio"
"76","CENTRO","JALISCO","Boulevar anacleto gonzalez flores 448, local 16 plaza los Altos",,"2","2","0","0","0","0","0","4","2088.44","Julio"
"77","SUR","PUEBLA","AV. GUERRERO NO. 7 ?PLANTA ALTA, LOCALES 12,13 y 16, PLAZA LOS CEDROS, COL. CENTRO, C.P. 73300",,"1","1.4193","0","1","0","0","0","3.4193","1816.887259","Julio"
"78","NORTE","CHIHUAHUA","CARRETERA INTERNACIONAL SAN JER?NIMO - SANTA TERESA S/N, COL. SAN JER?NIMO C.P. 32692, PB, CD. JUAREZ, CHIHUAHUA, REFERENCIA: CRUCE INTERNACIONAL",,"1","16","0","0","0","0","0","17","8058.67","Julio"
"79","CENTRO","JALISCO","AVENIDA UNIVERSIDAD #950 PLAZA SAN FELIPE. CP 47810 COL. SAN FELIPE OCOTLAN",,"2","2","0","0","0","0","0","4","2088.44","Julio"
"80","SUR","VERACRUZ","JUSTO SIERRA S/N, COL. CENTRO C.P. 92300, PLANTA BAJA, NARANJOS, VERACRUZ, REFERENCIA: ESQUINA CON CALLE DOS DE ENERO",,"1","0","0","0","0","0","0","1","576.59","Julio"
"81","NORTE","CHIHUAHUA","CARRETERA PANAMERICANA KM 30 S/N, COL. S/C C.P. 32692, PB, CD. JUAREZ, CHIHUAHUA, REFERENCIA: GARITA DE INTERNACI?N",,"0","2","0","0","0","0","0","2","935.26","Julio"
"82","NORTE","COAHUILA","MADERO 190, COL. CENTRO C.P. 26200, PLANTA BAJA, CD. ACU?A, COAHUILA, REFERENCIA: ESQUINA CON CALLE MADERO",,"1","3","0","1","0","0","0","5","2556.07","Julio"
