"kp_id","id","id_concatenado","region","site","addres","pais","state","city","horario","prioritario","criticidad","inmueble","hrequerimientos","horasxdias","mes"
"1","298","298-AICM-PRINCIPAL-ADUANA","CENTRO","AEROPUERTO CD. MEXICO","ADUANA AICM: AV. 602 S/N,  ZONA FEDERAL, COL. PE?ON DE LOS BA?OS.","MEXICO","DISTRITO FEDERAL","VENUSTIANO CARRANZA","LV0800-2000-S1000-1400","Si","Aduana","1","LS0800-2000","12","Julio"
"2","314","314-AICM-AEROPUERTO-TERMINAL 1-ADUANA","CENTRO","AEROPUERTO CD. MEXICO","TERMINAL 1: AV. PILOTO AVIADOR CARLOS LEON S/N, ZONA FEDERAL, COL. PE?ON DE LOS BA?OS","MEXICO","DISTRITO FEDERAL","VENUSTIANO CARRANZA","LD0000-2400","Si","Aduana","2","LD0000-2400","24","Julio"
"3","383","383-AICM-AEROPUERTO-TERMINAL 2-ADUANA","CENTRO","AEROPUERTO CD. MEXICO","TERMINAL 2: AV. FUERZA AEREA MEXICANA S/N, ESQ. ALBERTO SANTOS D, ZONA F, COL. AVIACION C.","MEXICO","DISTRITO FEDERAL","VENUSTIANO CARRANZA","LD0000-2400","Si","Aduana","2","LD0000-2400","24","Julio"
"4","385","385-AICM-SECCION ADUANERA-SEPOMEX-ADUANA","CENTRO","AEROPUERTO CD. MEXICO","SEPOMEX AICM: AV. PILOTO AVIADOR CARLOS LEON S/N, ZONA FEDERAL, COL. PE?ON DE LOS BA?OS","MEXICO","DISTRITO FEDERAL","VENUSTIANO CARRANZA","LV0800-1800","Si","Aduana","2","LV0800-1800","10","Julio"
"5","185","185-PRINCIPAL-ALAF","CENTRO","AGUASCALIENTES","CHICHIMECOS , 117 Y 119 , PISO 2, COL. SAN LUIS C.P. 20250","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"6","185","185-PRINCIPAL-ALJ","CENTRO","AGUASCALIENTES","CALLE CHICHIMECO #119, 2DO. PISO, COL.SAN LUIS.","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"7","185","185-PRINCIPAL-ALR","CENTRO","AGUASCALIENTES","CALLE CHICHIMECO #119, 2DO. PISO, COL.SAN LUIS.","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"8","185","185-PRINCIPAL-ALSC","CENTRO","AGUASCALIENTES","CALLE CHICHIMECO #119, 2DO. PISO, COL.SAN LUIS.","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"9","185","185-PRINCIPAL-CERYS","CENTRO","AGUASCALIENTES","CALLE CHICHIMECO #119, 2DO. PISO, COL.SAN LUIS.","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"10","185","185-PRINCIPAL-SLCTI","CENTRO","AGUASCALIENTES","CALLE CHICHIMECO #119, 2DO. PISO, COL.SAN LUIS.","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
